Ticker,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW
Price,Open,High,Low,Close,Volume
Date,,,,,
2020-01-02,300.7394737761281,306.61859130859375,300.7394737761281,306.61859130859375,31754120
2020-01-03,311.1410205150037,312.04550022580315,303.45294297320856,307.07086181640625,41811268
2020-01-06,301.19174166759814,302.5484612246594,300.2872619628906,300.2872619628906,45343057
2020-01-07,300.7394703241328,301.1917101291315,295.31259266414844,298.0260314941406,50879181
2020-01-08,293.9558732491524,301.1917101291315,293.9558732491524,298.0260314941406,37567748
2020-01-09,303.00073287398726,305.2619323730469,301.6440131745515,305.2619323730469,31481504
2020-01-10,307.97534152720567,308.4275813826054,303.90518282860825,307.07086181640625,27032115
2020-01-13,309.3320616335331,309.3320616335331,306.6186224963969,308.87982177734375,30663332
2020-01-14,312.4977113580428,312.949951171875,311.5932317303784,312.949951171875,30223993
2020-01-15,312.0454693962546,312.0454693962546,305.26187223546646,307.5230712890625,47434274
2020-01-16,298.47827312657654,304.35739062755454,298.47827312657654,302.5484313964844,55211420
2020-01-17,302.09612982122746,303.4528489671312,300.28717096002254,301.191650390625,52060097
2020-01-20,302.09612982122746,303.4528489671312,301.191650390625,301.191650390625,32658203
2020-01-30,294.8603478984622,294.8603478984622,286.2677917480469,286.2677917480469,125451049
2020-01-31,292.1468488693237,292.59908857345584,288.5289312362671,289.43341064453125,62526055
2020-02-03,284.9111328125,286.26785249255954,282.197693452381,284.9111328125,59560849
2020-02-04,304.3573870380108,304.8096268404447,293.95587158203125,293.95587158203125,51890496
2020-02-05,297.5737909448056,298.02603074867307,293.5036327099982,296.2170715332031,36601453
2020-02-06,298.02609307999,300.7395324707031,297.57385318153786,300.7395324707031,29267094
2020-02-07,298.4783321473657,298.93057204455863,294.8604129698219,296.66937255859375,28798327
2020-02-10,290.7901938867933,296.6693113370706,290.3379540829258,296.2170715332031,30632424
2020-02-11,298.9306031194028,300.7395628962222,298.47836317519796,299.8350830078125,27524935
2020-02-12,301.6439519625991,303.9051510027985,301.19171215455924,303.00067138671875,37612639
2020-02-13,305.714110234958,305.714110234958,303.00067138671875,303.00067138671875,22757021
2020-02-14,304.80963061887826,304.80963061887826,302.54843157867884,303.00067138671875,16933683
2020-02-17,299.8350830078125,301.19180284042704,298.9306031194028,299.8350830078125,15937079
2020-02-18,293.50359988953016,295.31255890271683,291.2424011230469,291.2424011230469,61825604
2020-02-19,291.6946429826582,295.7648007917185,291.2424032260959,295.31256103515625,38781218
2020-02-20,296.6693105858775,297.57379019132225,293.95587176954325,294.4081115722656,27011736
2020-02-21,294.40811138446514,295.31259098933293,292.1469123722957,293.95587158203125,22813534
2020-02-24,288.9811709403992,290.7901297569275,288.9811709403992,289.43341064453125,41693680
2020-02-25,289.43344210986027,292.59912038293686,287.172243343377,291.2424011230469,36195011
2020-02-26,286.72006268703393,289.88574161260055,286.26782284052445,288.0767822265625,60479362
2020-02-27,288.52902134762536,289.43350103837025,284.91110258464573,285.8155822753906,61250927
2020-03-02,278.579743314786,286.7200604895687,278.579743314786,281.2931823730469,79912942
2020-03-03,288.07675132451095,289.43347071850394,285.81555233452264,287.1722717285156,49679411
2020-03-04,291.2424923901253,291.2424923901253,286.7200934399681,289.8857727050781,42941146
2020-03-05,293.95584011963643,294.86031962769687,292.1468811035156,292.1468811035156,37861525
2020-03-06,289.43353174603175,289.8857716393849,284.9111328125,284.9111328125,51546760
2020-03-09,278.127501842043,280.3887010440108,276.31854248046875,276.31854248046875,87871277
2020-03-10,272.7005642570968,279.4841603828952,272.2483245153769,277.6752014160156,71950130
2020-03-11,279.4842202900261,280.8409398059971,273.1528625488281,273.1528625488281,62216710
2020-03-12,270.439390013818,270.439390013818,259.58563523065476,265.9169921875,113527351
2020-03-13,248.73193675074083,265.91705238079203,246.47073732573412,262.29913330078125,149995148
2020-03-16,257.77663715493617,263.203513726619,249.18408258310495,250.08856201171875,103873228
2020-03-17,239.6870892083467,250.088604400407,239.6870892083467,242.40052795410156,121323651
2020-03-18,243.75727565471942,246.4707147158109,235.1647186279297,235.1647186279297,117437643
2020-03-19,230.14178319131176,231.0550442357217,215.0729759585473,226.48873901367188,160811697
2020-03-20,236.07794392903645,246.5804443359375,233.79479166666667,246.5804443359375,157664726
