Date,Open,High,Low,Close,Volume,Outlier_Column
2020/1/30,294.6200381,294.6200381,286.0344849,286.0344849,125451049,Volume
2020/3/2,278.3527369,286.4864208,278.3527369,281.0639648,79912942,Volume
2020/3/9,277.9008998,280.1602567,276.0934143,276.0934143,87871277,Volume
2020/3/12,270.2190613,270.2190613,259.3741491,265.7003479,113527351,Volume
2020/3/13,248.5291895,265.7002972,246.2698333,262.0853271,149995148,Volume
2020/3/16,257.5666072,262.9890621,248.9810537,249.8847961,103873228,Volume
2020/3/17,239.4917451,249.8847831,239.4917451,242.2029724,121323651,Open
2020/3/17,239.4917451,249.8847831,239.4917451,242.2029724,121323651,Low
2020/3/17,239.4917451,249.8847831,239.4917451,242.2029724,121323651,Close
2020/3/17,239.4917451,249.8847831,239.4917451,242.2029724,121323651,Volume
2020/3/18,243.5586385,246.2698664,234.9730835,234.9730835,117437643,Open
2020/3/18,243.5586385,246.2698664,234.9730835,234.9730835,117437643,High
2020/3/18,243.5586385,246.2698664,234.9730835,234.9730835,117437643,Low
2020/3/18,243.5586385,246.2698664,234.9730835,234.9730835,117437643,Close
2020/3/18,243.5586385,246.2698664,234.9730835,234.9730835,117437643,Volume
2020/3/19,229.9542204,230.8667372,214.8976941,226.3041534,160811697,Open
2020/3/19,229.9542204,230.8667372,214.8976941,226.3041534,160811697,High
2020/3/19,229.9542204,230.8667372,214.8976941,226.3041534,160811697,Low
2020/3/19,229.9542204,230.8667372,214.8976941,226.3041534,160811697,Close
2020/3/19,229.9542204,230.8667372,214.8976941,226.3041534,160811697,Volume
2020/3/20,235.8855158,246.3794556,233.6042245,246.3794556,157664726,Open
2020/3/20,235.8855158,246.3794556,233.6042245,246.3794556,157664726,High
2020/3/20,235.8855158,246.3794556,233.6042245,246.3794556,157664726,Low
2020/3/20,235.8855158,246.3794556,233.6042245,246.3794556,157664726,Volume
2020/3/23,234.5168213,239.5356638,229.9542373,232.6917877,76466709,Open
2020/3/23,234.5168213,239.5356638,229.9542373,232.6917877,76466709,High
2020/3/23,234.5168213,239.5356638,229.9542373,232.6917877,76466709,Low
2020/3/23,234.5168213,239.5356638,229.9542373,232.6917877,76466709,Close
2020/3/23,234.5168213,239.5356638,229.9542373,232.6917877,76466709,Volume
2020/3/24,244.5544639,250.0295638,242.7294306,244.0982056,81952933,Open
2020/3/24,244.5544639,250.0295638,242.7294306,244.0982056,81952933,Low
2020/3/24,244.5544639,250.0295638,242.7294306,244.0982056,81952933,Close
2020/3/24,244.5544639,250.0295638,242.7294306,244.0982056,81952933,Volume
2020/3/25,252.3108773,255.5046858,250.0295854,252.7671356,79447199,Volume
2020/3/30,240.4481389,245.4669806,239.5356223,244.0982056,49159956,Open
2020/3/30,240.4481389,245.4669806,239.5356223,244.0982056,49159956,High
2020/3/30,240.4481389,245.4669806,239.5356223,244.0982056,49159956,Low
2020/3/30,240.4481389,245.4669806,239.5356223,244.0982056,49159956,Close
2020/4/17,276.9488207,281.5114043,274.2112706,279.6863708,116368201,Volume
2020/5/18,265.542369,267.8236609,264.6298523,264.6298523,84986065,Volume
2020/5/29,266.454895,266.9111534,264.6298615,266.454895,79774181,Volume
2020/7/24,358.7286148,363.3276996,351.3700791,355.0493469,86682734,Volume
2020/7/27,386.7830428,390.4623108,383.1037749,390.4623108,99333798,Volume
2020/7/28,426.7950195,429.0945617,394.1415213,400.1203308,166307746,Volume
2020/7/29,393.6816519,396.9010112,385.8632079,388.1627502,85663166,Volume
2020/8/3,386.7830054,390.0023645,381.7240124,382.6438293,76429571,Volume
2020/8/20,392.7618328,393.2217413,368.8465924,381.7240295,75097235,Volume
2020/8/31,401.9600192,404.2595616,392.3019409,392.3019409,81480538,Volume
2020/9/24,393.5301501,396.7671784,391.2179871,391.2179871,79806381,Volume
2020/11/16,434.6866822,448.0972288,433.7618169,447.6347961,81994937,Volume
2020/11/30,455.9586134,456.4210461,444.3977966,444.3977966,119895176,Volume
2021/1/14,545.5597703,554.8538039,545.5597703,550.2067871,75288477,Volume
2021/1/15,577.1595411,580.8771549,558.5714722,558.5714722,92010500,Volume
2021/1/20,588.312447,604.1123073,586.4536399,601.3240967,82066422,Volume
2021/1/21,594.8181533,631.0648845,594.8181533,625.4884644,89019137,Volume
2021/1/22,603.1827393,618.053192,603.1827393,603.1827393,125179403,Volume
