Date,Open,High,Low,Close,Increase
2020/3/17,239.4917451,249.8847831,239.4917451,242.2029724,
2020/3/18,243.5586385,246.2698664,234.9730835,234.9730835,
2020/3/19,229.9542204,230.8667372,214.8976941,226.3041534,
2020/3/20,235.8855158,246.3794556,233.6042245,246.3794556,
2020/3/23,234.5168213,239.5356638,229.9542373,232.6917877,
2020/3/24,244.5544639,250.0295638,242.7294306,244.0982056,
2020/3/30,240.4481389,245.4669806,239.5356223,244.0982056,
2024/5/16,844.782302,848.7484161,829.9093742,833.8754883,
2024/5/23,867.5874023,869.5704593,859.6551747,867.5874023,
2024/5/24,850.7313955,864.6127935,850.7313955,859.6551514,
2024/5/27,864.6128301,870.5620009,858.6636592,861.6382446,
2024/5/28,859.6551761,865.6043468,857.6721191,857.6721191,
2024/5/29,853.7059819,860.6466809,848.7483397,849.7398682,
2024/6/6,885.4349242,891.384095,877.5026964,886.4264526,
2024/6/7,877.5026987,880.4772841,871.5535278,871.5535278,
2024/6/11,884.4434097,887.4179952,875.5196533,875.5196533,
2024/6/12,880.4772796,906.2570198,880.4772796,901.2993774,
2024/6/13,918.7180155,930.662345,906.7736859,914.7365723,
2024/6/14,911.7504915,917.7226563,900.8015227,917.7226563,
2024/6/17,908.7644085,920.7087381,908.7644085,916.7272949,
2024/6/18,939.620605,945.5927698,935.6391617,938.6252441,
2024/6/19,948.5788121,979.4349959,948.5788121,976.4489136,
2024/6/20,966.4953059,976.4489136,966.4953059,976.4489136,
2024/6/21,956.5416921,973.4628251,955.5463313,965.499939,
2024/6/24,953.5556547,955.5463763,935.6391602,935.6391602,
2024/6/25,920.7087506,940.6159668,918.7180289,940.6159668,
2024/6/26,946.5881393,955.5463867,946.5881393,955.5463867,
2024/6/27,946.5881393,956.5417475,944.5974177,955.5463867,
2024/6/28,951.5649465,966.4953588,950.5695856,961.5185547,
2024/7/1,963.5092163,972.4674632,960.523134,963.5092163,
2024/7/2,962.5139125,966.4953557,954.5510259,955.5463867,
2024/7/3,971.4721086,974.4581909,962.5138617,974.4581909,
2024/7/4,995.3607815,1005.314389,992.3746992,1000.337585,
2024/7/5,1000.337585,1005.314389,995.3607815,1000.337585,
2024/7/8,1000.337542,1045.128775,995.3607384,1030.198364,
2024/7/9,1025.221563,1050.105582,1020.24476,1035.175171,
2024/7/10,1015.267959,1045.128781,1010.291155,1040.151978,
2024/7/11,1060.059213,1074.989624,1050.105605,1074.989624,
2024/7/12,1025.221563,1040.151975,1020.24476,1035.175171,
2024/7/15,1035.175171,1040.151975,1020.24476,1035.175171,
2024/7/16,1035.17518,1065.036002,1030.198376,1050.105591,
2024/7/17,1030.198361,1040.151969,1015.26795,1025.221558,
2024/7/18,983.4164522,1000.337585,981.4257306,1000.337585,
2024/7/19,983.4164327,990.383958,965.499939,965.499939,
2024/7/22,959.527819,960.5231798,933.648438,934.6437988,
2024/7/23,958.5324186,974.4581909,951.5648933,974.4581909,
2024/7/26,910.7551317,925.6855437,910.7551317,919.7133789,
2024/7/29,937.6298838,943.6020487,931.657719,939.6206055,
2024/7/30,925.6855521,944.5974074,921.7041088,935.6391602,
2024/7/31,924.6901882,935.639157,923.6948274,929.6669922,
2024/8/1,964.5046341,964.5046341,943.6020569,955.5463867,
2024/8/2,913.7412028,923.6948107,898.810791,898.810791,
2024/8/5,848.0474049,853.0242089,809.2283336,811.2190552,
2024/8/6,863.9731512,890.8478921,836.1030495,875.9174805,
2024/8/7,896.8200784,915.7319336,888.8571921,915.7319336,
2024/8/8,896.8200656,900.8015088,882.8850147,891.8432617,
2024/8/9,922.6994666,929.6669922,917.7226625,929.6669922,
2024/8/12,937.6298818,943.6020466,926.6809129,935.6391602,
2024/8/13,940.6159647,940.6159647,932.6530782,936.6345215,
2024/8/14,946.5881332,950.5695765,940.6159683,943.6020508,
2024/8/15,940.6159658,945.5927698,936.6345225,938.6252441,
2024/8/16,958.5324131,964.5045776,953.5556093,964.5045776,
2024/8/19,964.5045799,970.4767445,959.5277761,968.4860229,
2024/8/20,972.467466,972.467466,963.5092191,968.4860229,
2024/8/21,956.5417465,959.527829,951.5649424,953.5556641,
2024/8/22,953.5556605,959.5278254,943.6020523,946.5881348,
2024/8/23,939.620608,947.5834946,934.643804,944.5974121,
2024/8/26,952.5602991,956.5417424,940.6159694,945.5927734,
2024/8/27,940.6159652,941.6113261,935.6391612,937.6298828,
2024/8/28,940.6159764,959.527832,938.6252548,959.527832,
2024/8/29,937.6298833,942.6066874,932.6530793,938.6252441,
2024/8/30,939.6206055,947.583492,936.634523,939.6206055,
2024/9/2,945.5927724,950.5695765,938.6252467,943.6020508,
2024/9/3,943.6020466,947.5834899,934.6437993,935.6391602,
2024/9/4,889.8525363,900.8015049,883.8803716,884.8757324,
2024/9/5,902.7922336,910.7551199,895.8247081,897.8154297,
