Date,Open,High,Low,Close,Volume
2020-01-02,299.2246232834537,305.0741271972656,299.2246232834537,305.0741271972656,31754120.0
2020-01-03,309.5737966276233,310.47372045502925,301.92444409467333,305.5241394042969,41811268.0
2020-01-06,299.67467370090714,301.0245596184788,298.7747497558594,298.7747497558594,45343057.0
2020-01-07,299.22476622331124,299.6747282777824,293.8252215696575,296.5249938964844,50879181.0
2020-01-08,292.4753354062441,299.6747282777824,292.4753354062441,296.5249938964844,37567748.0
2020-01-09,301.4744945384838,303.72430419921875,300.1246087420428,303.72430419921875,31481504.0
2020-01-10,306.42406323170275,306.8740251454057,302.3744060083763,305.5241394042969,27032115.0
2020-01-13,307.7740587538891,307.7740587538891,305.0742863086795,307.3240966796875,30663332.0
2020-01-14,310.92372576763177,311.3736877441406,310.02380181461405,311.3736877441406,30223993.0
2020-01-15,310.47374052159927,310.47374052159927,303.72431137982534,305.97412109375,47434274.0
2020-01-16,296.9748786960482,302.8243838824855,296.9748786960482,301.0245361328125,55211420.0
2020-01-17,300.5746065890109,301.924492546746,298.7747586453641,299.6746826171875,52060097.0
2020-01-20,300.5746065890109,301.924492546746,299.6746826171875,299.6746826171875,32658203.0
2020-01-30,293.3751423189425,293.3751423189425,284.82586669921875,284.82586669921875,125451049.0
2020-01-31,290.6754802703858,291.125442314148,287.0757839202881,287.9757080078125,62526055.0
2020-02-03,283.4759826660156,284.8258682977586,280.7762114025298,283.4759826660156,59560849.0
2020-02-04,302.82443767841045,303.27439969576324,292.4753112792969,292.4753112792969,51890496.0
2020-02-05,296.0749529423604,296.52491487692333,292.0252955312947,294.7250671386719,36601453.0
2020-02-06,296.5249594322721,299.2247314453125,296.0749974300987,299.2247314453125,29267094.0
2020-02-07,296.9748659831721,297.4248279013285,293.3751706379216,295.1750183105469,28798327.0
2020-02-10,289.3255239239176,295.1750290732347,288.8755619893547,294.7250671386719,30632424.0
2020-02-11,297.4248746063555,299.2247225616133,296.974912617541,298.3247985839844,27524935.0
2020-02-12,300.12460154063666,302.37441114738806,299.6746396192864,301.4744873046875,37612639.0
2020-02-13,304.1742588327892,304.1742588327892,301.4744873046875,301.4744873046875,22757021.0
2020-02-14,303.2743349900886,303.2743349900886,301.0245253833372,301.4744873046875,16933683.0
2020-02-17,298.3247985839844,299.67468455042774,297.4248746063555,298.3247985839844,15937079.0
2020-02-18,292.02529182197145,293.8251395373611,289.7754821777344,289.7754821777344,61825604.0
2020-02-19,290.2254389110057,294.275096198136,289.77547699021346,293.8251342773437,38781218.0
2020-02-20,295.17507245463713,296.0749964560232,292.47530045047887,292.9252624511719,27011736.0
2020-02-21,292.92527329664966,293.8251973313552,290.67546320988583,292.4753112792969,22813534.0
2020-02-24,287.5257459640503,289.3255941390991,287.5257459640503,287.9757080078125,41693680.0
2020-02-25,287.9756344623447,291.1253679642766,285.72582481810764,289.7754821777344,36195011.0
2020-02-26,285.27584671188185,288.4255800351992,284.8258848085508,286.625732421875,60479362.0
2020-02-27,287.0756868772869,287.97561066060126,283.4759917440294,284.3759155273437,61250927.0
2020-03-02,277.17657097819534,285.2758863639218,277.17657097819534,279.8763427734375,79912942.0
2020-03-03,286.6258151797797,287.9757012795276,284.3760050135335,285.72589111328125,49679411.0
2020-03-04,289.77551459968555,289.77551459968555,285.275894807765,288.4256286621094,42941146.0
2020-03-05,292.4752628102022,293.3751866957721,290.6754150390625,290.6754150390625,37861525.0
2020-03-06,287.97560143849205,288.42556331573974,283.4759826660156,283.4759826660156,51546760.0
2020-03-09,276.72654421942127,278.9763535220182,274.9266967773437,274.9266967773437,87871277.0
2020-03-10,271.32706031426545,278.0764896753168,270.877098356862,276.2766418457031,71950130.0
2020-03-11,278.0765063557404,279.4263923089236,271.77703857421875,271.77703857421875,62216710.0
2020-03-12,269.0772563908376,269.0772563908376,258.2781691778274,264.57763671875,113527351.0
2020-03-13,247.47899022595635,264.57753864156786,245.2291812239022,260.97784423828125,149995148.0
2020-03-16,256.4783175642624,261.8778610919311,247.92904031212032,248.82896423339844,103873228.0
2020-03-17,238.47985452680444,248.8289802892884,238.47985452680444,241.17962646484372,121323651.0
2020-03-18,242.5294862307035,245.2292578770564,233.98020935058597,233.98020935058597,117437643.0
2020-03-19,228.9825749551096,229.89123596683623,213.9896682616203,225.34793090820312,160811697.0
2020-03-20,234.88888354831272,245.33848571777344,232.61723090277775,245.33848571777344,157664726.0
2020-03-23,233.52589452406937,238.5235303990981,228.98258918313417,231.7085723876953,76466709.0
2020-03-24,243.52113345137263,248.97309912565711,241.7038115599445,243.0668029785156,81952933.0
2020-03-25,251.24476618026569,254.4250796762184,248.97311368315655,251.6990966796875,79447199.0
